scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
[GL API OTHER NOTIFICATION] 131185: Buffer detailed info: Buffer object 1 (bound to NONE, usage hint is GL_STATIC_DRAW) will use VIDEO memory as the source for buffer object operations.
[GL API OTHER LOW] 131204: Texture state usage warning: The texture object (0) bound to texture image unit 0 does not have a defined base level and cannot be used for texture mapping.
[GL API OTHER LOW] 131204: Texture state usage warning: The texture object (0) bound to texture image unit 1 does not have a defined base level and cannot be used for texture mapping.
[GL API OTHER LOW] 131204: Texture state usage warning: The texture object (0) bound to texture image unit 0 does not have a defined base level and cannot be used for texture mapping.
sublime         , 1rect_1draw               ,     1 ,   115975us ,   125000us , 114870.272us ,        9us ,        1us ,        0us ,    1.024us ,    0.000us ,        2us ,        0us ,    2.048us ,    1.024us ,      131us ,        0us ,   13.312us ,   12.288us ,     5922us ,    15625us , 40130.560us , 40128.512us ,   109919us ,   109375us , 74723.328us , 74722.304us
[GL API OTHER NOTIFICATION] 131185: Buffer detailed info: Buffer object 1 (bound to NONE, usage hint is GL_STATIC_DRAW) will use VIDEO memory as the source for buffer object operations.
[GL API PERFORMANCE MEDIUM] 131154: Pixel-path performance warning: Pixel transfer is synchronized with 3D rendering.
sublime         , simple_vbo                ,     1 ,     1388us ,        0us ,  328.704us ,        7us ,      175us ,        0us ,   15.360us ,    0.000us ,      268us ,        0us ,   33.792us ,   13.312us ,       32us ,        0us ,    8.192us ,    3.072us ,       90us ,        0us ,   49.152us ,   48.128us ,      823us ,        0us ,  222.208us ,  221.184us
[GL API OTHER NOTIFICATION] 131185: Buffer detailed info: Buffer object 1 (bound to NONE, usage hint is GL_DYNAMIC_DRAW) will use VIDEO memory as the source for buffer object operations.
[GL API PERFORMANCE MEDIUM] 131154: Pixel-path performance warning: Pixel transfer is synchronized with 3D rendering.
sublime         , simple_vbo_stor           ,     1 ,      893us ,        0us ,  256.000us ,       10us ,       53us ,        0us ,    1.024us ,    0.000us ,      195us ,        0us ,    3.072us ,    1.024us ,       30us ,        0us ,    4.096us ,    2.048us ,       84us ,        0us ,   47.104us ,   45.056us ,      531us ,        0us ,  200.704us ,  198.656us
[GL API OTHER NOTIFICATION] 131185: Buffer detailed info: Buffer object 1 (bound to NONE, usage hint is GL_STATIC_DRAW) will use VIDEO memory as the source for buffer object operations.
[GL API OTHER LOW] 131204: Texture state usage warning: The texture object (0) bound to texture image unit 2 does not have a defined base level and cannot be used for texture mapping.
